Location,Location Name,District Number,Region Number,Terr Num,EFF DT,Current Starting Rate,Staffing Level,Current Staffing Level,YTD Average Staffing Level,Current Staffing Score,YTD Staffing Score,Total Staffing Score,LY Turn %,YTD Turn %,YOY Turn Variance,Turnover Score,Unemployment Score,Kohl's to County Comp Score,County Score,Applicant Flow,Acceptance Rate,Acceptance Rate Score,Applicant Flow Score,Recruiting Score,Cost of Labor Zone,Wage Pressue Score,Wage Score Color,Starting Rate Buckets
37,Port Huron,31,11,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.09,0.12,0.03,4,1,2,1.5,2.42,0.67,5,1,3.4,3,2.87,Green,9
39,Brookfield,3,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.05,0.07,0.02,4,5,2,3.5,8.55,0.94,2,2,2,2,2.71,Green,9
41,West Allis,3,6,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.06,0.12,0.06,4,3,1,2,11.5,0.87,3,1,2.2,2,2.46,Green,9
43,Point Loomis,3,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.09,0.03,-0.06,3,3,1,2,10.5,,2,1,1.6,2,2.06,Green,9
48,La Crosse,2,6,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.09,0.09,0.00,3,5,2,3.5,5,0.8,4,3,3.6,1,2.86,Green,9
49,Burnsville,8,7,2,4/1/17,9.50,1.00,1.00,0.88,1,4,3.1,0.14,0.15,0.01,4,5,3,4,1.98,0.86,3,1,2.2,3,3.28,Yellow,9.38
52,Maplewood,8,7,2,4/1/17,9.50,1.00,1.00,0.86,1,4,3.1,0.12,0.06,-0.05,3,4,2,3,6.89,0.75,5,3,4.2,3,3.33,Yellow,9.38
54,Rosedale,8,7,2,4/1/17,9.50,1.00,1.00,0.90,1,3,2.4,0.14,0.24,0.10,4,5,4,4.5,4.82,0.81,4,2,3.2,3,3.42,Yellow,9.38
55,Woodbury,8,7,2,4/1/17,9.50,1.00,1.00,0.93,1,3,2.4,0.08,0.05,-0.02,3,5,1,3,2.08,0.86,3,1,2.2,3,2.62,Green,9.38
57,Harlem Irving,5,1,2,4/1/17,9.00,0.99,0.99,0.95,2,3,2.7,0.07,0.05,-0.01,3,3,3,3,6.87,0.9,2,3,2.4,3,2.76,Green,9
59,Spring Hill,19,1,2,4/1/17,9.00,1.00,1.00,0.95,1,2,1.7,0.08,0.04,-0.05,3,3,2,2.5,7,1,1,2,1.4,3,2.11,Green,9
60,Arlington Heights,19,1,2,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.08,0.02,-0.06,3,3,3,3,2.18,0.9,2,1,1.6,3,2.47,Green,9
62,Chicago Ridge,5,1,2,4/1/17,9.00,0.97,0.97,0.94,2,3,2.7,0.09,0.10,0.02,4,3,3,3,14.84,0.89,3,1,2.2,3,2.96,Green,9
63,Burbank,5,1,2,4/1/17,9.00,1.00,1.00,1.00,1,1,1,0.04,0.05,0.02,4,3,3,3,26,,2,1,1.6,3,2.3,Green,9
64,Woodridge,49,1,2,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.08,0.05,-0.03,3,4,5,4.5,2.93,1,1,1,1,3,2.62,Green,9
65,Stratford Square,49,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.09,0.07,-0.03,3,4,5,4.5,5.94,0.94,2,3,2.4,3,2.76,Green,9
66,Downers Grove,5,1,2,4/1/17,9.00,0.98,0.98,0.93,2,3,2.7,0.07,0.07,0.00,3,4,5,4.5,10.2,0.9,2,1,1.6,3,2.86,Green,9
67,Fox Valley,49,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.08,0.07,-0.01,3,4,5,4.5,16.5,0.83,4,1,2.8,3,2.86,Green,9
68,Orland Park,6,1,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.09,0.07,-0.02,3,3,3,3,6.67,,2,3,2.4,3,2.46,Green,9
70,Golf Mill,5,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.10,0.03,-0.07,3,3,3,3,,,,,,3,2.415,Green,9
71,Southridge,3,6,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.05,0.06,0.01,4,3,2,2.5,1.92,0.79,5,1,3.4,2,2.86,Green,9
72,Peoria,11,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.09,0.02,4,2,2,2,12.33,0.88,3,1,2.2,2,2.46,Green,9
73,Hodgkins,5,1,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.06,0.03,-0.03,3,3,3,3,8.57,1,1,2,1.4,3,2.21,Green,9
75,Schaumburg,5,1,2,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.06,0.07,0.01,4,4,5,4.5,6.85,0.83,4,3,3.6,3,3.52,Yellow,9
77,Wheaton,49,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.06,0.04,-0.02,3,4,5,4.5,1.7,1,1,1,1,3,2.41,Green,9
79,Eagan,8,7,2,4/1/17,9.50,1.00,1.00,0.90,1,3,2.4,0.07,0.09,0.02,4,5,3,4,1.95,0.69,5,1,3.4,3,3.37,Yellow,9.38
82,West Bend,3,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.04,0.04,0.00,4,5,2,3.5,0.79,1,1,1,1,2,2.46,Green,9
83,Merrillville,6,1,2,4/1/17,9.00,1.00,1.00,0.95,1,3,2.4,0.11,0.05,-0.05,3,2,2,2,0.75,1,1,1,1,2,2.12,Green,9
84,Westfield,4,6,2,4/1/17,9.00,0.98,0.98,0.84,2,4,3.4,0.19,0.13,-0.06,3,5,3,4,1.81,0.88,3,1,2.2,2,3.12,Yellow,9
86,St Cloud,17,7,2,4/1/17,9.50,1.00,1.00,0.94,1,3,2.4,0.06,0.09,0.04,4,4,2,3,3.61,0.87,3,2,2.6,2,2.97,Green,9.38
89,Bayshore,3,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.06,0.07,0.01,4,3,2,2.5,3.63,0.5,5,2,3.8,2,2.96,Green,9
91,Waukesha,2,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.03,0.04,0.01,4,5,2,3.5,4,1,1,2,1.4,2,2.56,Green,9
95,Olentangy,33,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.07,0.10,0.02,4,4,2,3,9,0.8,4,2,3.2,2,2.91,Green,9
96,Westerville,33,1,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.11,0.09,-0.03,3,4,2,3,5.19,0.89,3,3,3,2,2.61,Green,9
97,Dublin,33,1,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.06,0.01,-0.05,3,4,2,3,3.52,0.85,3,2,2.6,2,2.51,Green,9
99,Green Bay West,1,6,2,4/1/17,9.00,0.98,0.98,0.91,2,3,2.7,0.10,0.10,0.00,4,5,3,4,1.51,0.87,3,1,2.2,2,3.16,Yellow,9
101,Menomonee Falls,3,6,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.07,0.02,-0.05,3,5,2,3.5,3.59,0.86,3,2,2.6,2,2.61,Green,9
102,Springfield,11,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.08,0.05,-0.03,3,4,2,3,12.5,0.78,5,1,3.4,2,2.71,Green,9
103,Clive,43,7,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.01,0.01,0.00,3,5,2,3.5,,,,,,2,2.515,Green,9
104,Merle Hay,43,7,2,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.07,0.04,-0.04,3,5,2,3.5,3.81,0.83,4,2,3.2,2,2.97,Green,9
105,Sioux Falls,43,7,2,4/1/17,9.25,1.00,1.00,0.90,1,4,3.1,0.14,0.09,-0.05,3,5,4,4.5,2.49,0.79,5,1,3.4,1,3.43,Yellow,9.12
106,Geist,4,6,2,4/1/17,9.00,1.00,1.00,0.91,1,3,2.4,0.09,0.11,0.02,4,4,3,3.5,5,0.83,4,3,3.6,2,3.32,Yellow,9
107,Fashion Mall,4,6,2,4/1/17,9.00,0.99,0.99,0.91,2,3,2.7,0.06,0.02,-0.03,3,4,3,3.5,2.41,0.88,3,1,2.2,2,2.81,Green,9
108,Anderson,4,6,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.12,0.12,0.00,3,3,1,2,21.4,0.71,5,1,3.4,1,2.51,Green,9
109,Oak Creek,3,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.06,0.05,0.00,3,3,2,2.5,3.31,0.78,5,2,3.8,2,2.71,Green,9
110,Ft Wayne West,80,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.07,0.08,0.01,4,4,2,3,11.4,0.67,5,1,3.4,1,2.96,Green,9
111,Green Bay East,1,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.08,0.05,-0.03,3,5,3,4,5.67,0.89,3,3,3,2,2.81,Green,9
112,Vernon Hills,19,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.01,0.05,0.04,4,3,2,2.5,23,,2,1,1.6,3,2.41,Green,9
113,Darboy,1,6,2,4/1/17,9.00,0.94,0.94,0.88,3,4,3.7,0.13,0.11,-0.02,3,5,2,3.5,3.31,0.89,3,2,2.6,2,3.21,Yellow,9
114,Midwest City,34,5,1,4/1/17,9.00,0.99,0.99,0.95,2,2,2,0.24,0.13,-0.10,2,4,3,3.5,8.33,0.88,3,2,2.6,1,2.45,Green,9
115,Wichita Falls,26,4,1,4/1/17,9.00,0.93,0.93,0.97,3,2,2.3,0.04,0.12,0.07,4,4,3,3.5,10.5,1,1,1,1,1,2.64,Green,9
117,Papillion,43,7,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.08,0.04,-0.04,3,5,3,4,6.5,0.72,5,3,4.2,2,3.11,Yellow,9
118,Terre Haute,11,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.15,0.04,-0.11,2,3,2,2.5,13.55,0.8,4,1,2.8,2,2.21,Green,9
119,Wentzville,23,14,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.04,0.08,0.04,4,5,3,4,2.69,,2,1,1.6,2,2.71,Green,9
121,Appleton North,1,6,2,4/1/17,9.00,0.95,0.95,0.93,2,3,2.7,0.12,0.06,-0.05,3,5,2,3.5,2.96,0.93,2,1,1.6,2,2.66,Green,9
123,Sheboygan,3,6,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.04,0.09,0.05,4,5,2,3.5,3,0.78,5,2,3.8,2,3.16,Yellow,9
125,Madison South,2,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.05,0.07,0.02,4,5,2,3.5,,,,,,2,2.865,Green,9
126,Champaign,11,6,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.12,0.03,-0.09,3,4,2,3,4.1,0.95,1,2,1.4,2,2.42,Green,9
127,Decatur,11,6,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.20,0.09,-0.11,2,2,2,2,5,0.89,3,3,3,2,2.16,Green,9
129,Bloomington,11,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.05,0.02,-0.03,3,4,2,3,19.73,1,1,1,1,2,2.11,Green,9
130,Ft Wayne North,80,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.07,0.02,-0.05,3,4,2,3,9.1,1,1,2,1.4,1,2.21,Green,9
132,Fond du Lac,1,6,2,4/1/17,9.00,0.95,0.95,0.93,2,3,2.7,0.12,0.12,0.00,4,5,1,3,3.94,0.88,3,2,2.6,2,3.06,Yellow,9
134,Greenwood,4,6,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.13,0.08,-0.06,3,5,2,3.5,5.65,0.91,2,3,2.4,2,2.56,Green,9
136,Speedway,4,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.07,0.09,0.02,4,4,3,3.5,3.43,,2,2,2,2,2.71,Green,9
138,Lafayette,4,6,2,4/1/17,9.00,0.86,0.86,0.87,4,4,4,0.13,0.15,0.02,4,5,2,3.5,3.92,0.73,5,2,3.8,2,3.85,Orange,9
139,Athens,36,5,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.15,0.09,-0.06,3,3,3,3,14.33,,2,1,1.6,2,2.26,Green,9
140,Rockford South,19,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.08,0.07,-0.02,3,1,1,1,22,0.88,3,1,2.2,2,2.01,Green,9
141,Watertown,69,3,4,4/1/17,9.70,1.00,1.00,0.95,1,2,1.7,0.12,0.13,0.01,4,1,2,1.5,7.5,0.88,3,2,2.6,2,2.46,Green,9.63
142,Janesville,2,6,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.05,0.04,-0.01,3,3,2,2.5,6.9,0.9,2,3,2.4,2,2.36,Green,9
143,Sherman,26,4,1,4/1/17,9.00,0.94,0.94,0.91,3,3,3,0.04,0.08,0.04,4,4,3,3.5,2.13,1,1,1,1,2,2.85,Green,9
147,Bowling Green,67,2,4,4/1/17,9.00,1.00,1.00,0.87,1,4,3.1,0.18,0.04,-0.13,2,4,3,3.5,5.27,0.82,4,3,3.6,1,3.03,Yellow,9
148,Grand Blanc,31,11,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.13,0.10,-0.03,3,2,2,2,6.93,0.91,2,3,2.4,2,2.26,Green,9
149,Millville,52,15,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.04,0.04,-0.01,3,1,2,1.5,18.13,0.4,5,1,3.4,3,2.41,Green,9
153,Paducah,81,14,1,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.16,0.16,0.00,4,2,2,2,2.09,1,1,1,1,1,2.16,Green,9
154,Cape Girardeau,81,14,1,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.02,0.02,0.00,4,4,2,3,15.67,0.9,2,1,1.6,1,2.51,Green,9
155,New Hartford,57,3,4,4/1/17,9.70,1.00,1.00,0.98,1,2,1.7,0.12,0.05,-0.07,3,3,2,2.5,12.42,0.8,4,1,2.8,2,2.46,Green,9.63
156,Newport News,58,2,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.08,0.03,-0.05,3,3,3,3,23.38,1,1,1,1,2,2.11,Green,9
158,Sandusky,72,11,2,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.07,0.03,-0.03,3,1,2,1.5,17,1,1,1,1,2,2.02,Green,9
159,Wadsworth,72,11,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.06,0.11,0.05,4,2,1,1.5,4.95,0.93,2,2,2,2,2.52,Green,9
160,Wooster,72,11,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.15,0.00,-0.14,2,4,2,3,6.31,0.79,5,3,4.2,1,2.66,Green,9
161,Dover,21,15,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.06,0.08,0.02,4,3,3,3,26.67,1,1,1,1,2,2.36,Green,9
162,Pottstown,74,15,4,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.06,0.06,-0.01,3,5,3,4,10.13,0.86,3,1,2.2,3,2.61,Green,9
163,Salinas,64,13,3,4/1/17,10.50,0.97,0.97,0.93,2,3,2.7,0.06,0.03,-0.04,3,1,2,1.5,15.6,1,1,1,1,4,2.11,Green,10.38
165,Willimantic,42,3,4,4/1/17,10.10,1.00,1.00,0.99,1,2,1.7,0.08,0.10,0.02,4,2,2,2,0.5,1,1,1,1,3,2.16,Green,10.12
166,Evans,75,14,1,4/1/17,9.00,0.96,0.96,0.99,2,2,2,0.07,0.09,0.02,4,4,2,3,36.5,1,1,1,1,2,2.45,Green,9
167,Sioux City,43,7,2,4/1/17,9.00,1.00,1.00,0.89,1,4,3.1,0.12,0.07,-0.05,3,5,4,4.5,6.24,0.89,3,3,3,1,3.33,Yellow,9
168,Peru,11,6,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.11,0.01,-0.10,3,2,2,2,4.33,0.67,5,2,3.8,1,2.61,Green,9
169,Evansville West,81,14,1,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.03,0.08,0.05,4,4,2,3,4.28,0.8,4,2,3.2,2,2.91,Green,9
170,Georgetown,67,2,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.09,0.05,-0.04,3,5,3,4,1,1,1,1,1,1,2.31,Green,9
171,Glen Burnie,18,2,4,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.13,0.15,0.02,4,5,3,4,6.7,0.93,2,3,2.4,3,2.91,Green,9
172,Salisbury,18,2,4,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.12,0.06,-0.07,3,1,3,2,17.2,1,1,1,1,2,1.91,Green,9
173,Augusta,12,3,4,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.12,0.10,-0.01,3,5,2,3.5,3,1,1,2,1.4,1,2.52,Green,9
174,Machesney Park,19,1,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.06,0.10,0.04,4,1,1,1,14,1,1,1,1,2,1.96,Green,9
175,Racine,3,6,2,4/1/17,9.00,0.98,0.98,0.99,2,2,2,0.05,0.10,0.06,4,3,1,2,11.93,0.82,4,1,2.8,2,2.7,Green,9
176,Gurnee,19,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.04,0.01,-0.02,3,3,3,3,8,,2,2,2,3,2.36,Green,9
177,Mt Prospect,5,1,2,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.07,0.03,-0.04,3,3,3,3,2.11,,2,1,1.6,3,2.26,Green,9
178,Schaumburg West,5,1,2,4/1/17,9.00,1.00,1.00,0.95,1,2,1.7,0.05,0.04,-0.01,3,3,3,3,1.11,1,1,1,1,3,2.11,Green,9
179,Blaine,17,7,2,4/1/17,9.50,1.00,1.00,0.93,1,3,2.4,0.02,0.00,-0.02,3,4,2,3,5.25,0.85,4,3,3.6,3,2.97,Green,9.38
180,Homewood,6,1,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.05,-0.02,3,3,3,3,35,1,1,1,1,3,2.11,Green,9
182,Joplin,23,14,1,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.13,0.06,-0.06,3,4,3,3.5,8.25,1,1,2,1.4,1,2.31,Green,9
183,Fayetteville,44,14,1,4/1/17,9.00,0.96,0.96,0.98,2,2,2,0.02,0.11,0.08,4,2,3,2.5,33.4,1,1,1,1,1,2.35,Green,9
184,Bismarck,17,7,2,4/1/17,10.05,1.00,1.00,0.89,1,4,3.1,0.10,0.04,-0.05,3,5,3,4,2.83,0.87,3,1,2.2,2,3.03,Yellow,10.12
185,Grand Island,43,7,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.12,0.13,0.01,4,5,2,3.5,7.29,0.81,4,2,3.2,1,3.01,Yellow,9
186,Monroe,72,11,2,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.08,0.13,0.05,4,3,2,2.5,3.45,1,1,2,1.4,3,2.36,Green,9
187,Zanesville,33,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.05,0.08,0.04,4,1,2,1.5,17.75,0.75,5,1,3.4,1,2.66,Green,9
188,Carlisle,65,15,4,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.04,0.04,0.00,3,5,2,3.5,1.84,0.6,5,1,3.4,2,2.81,Green,9
189,Dickson City,74,15,4,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.15,0.02,-0.13,2,3,2,2.5,3.46,1,1,2,1.4,1,2.07,Green,9
190,Stroudsburg,74,15,4,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.08,0.05,-0.02,3,2,3,2.5,,,,,,2,2.315,Green,9
191,Johnson City,35,5,1,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.10,0.08,-0.01,3,4,3,3.5,6.62,1,1,3,1.8,1,2.62,Green,9
192,Georgetown,40,4,1,4/1/17,9.00,0.96,0.96,0.93,2,3,2.7,0.10,0.07,-0.03,3,5,4,4.5,0.5,1,1,1,1,2,2.71,Green,9
193,Lynchburg,58,2,4,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.06,0.08,0.02,4,4,2,3,22.5,1,1,1,1,2,2.36,Green,9
195,North Logan,62,12,3,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.07,0.10,0.03,4,5,3,4,7.09,0.83,4,2,3.2,1,3.32,Yellow,9
196,St. Joseph,76,7,2,4/1/17,9.00,1.00,1.00,0.95,1,3,2.4,0.06,0.04,-0.02,3,4,3,3.5,12.75,1,1,1,1,1,2.42,Green,9
197,City of Industry,45,8,3,4/1/17,10.50,1.00,1.00,0.98,1,2,1.7,0.11,0.06,-0.05,3,4,3,3.5,1,1,1,1,1,3,2.21,Green,10.38
198,Bangor,12,3,4,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.07,0.09,0.03,4,4,2,3,8.22,0.77,5,2,3.8,1,3.06,Yellow,9
200,Beaumont,71,4,1,4/1/17,9.00,0.85,0.85,0.93,4,3,3.3,0.08,0.18,0.10,4,1,3,2,17.21,0.94,2,1,1.6,2,2.79,Green,9
201,Davenport,79,7,2,4/1/17,9.00,1.00,1.00,0.92,1,3,2.4,0.08,0.08,-0.01,3,4,2,3,10.17,0.74,5,1,3.4,2,2.92,Green,9
202,Fargo,17,7,2,4/1/17,9.00,1.00,1.00,0.91,1,3,2.4,0.22,0.10,-0.12,2,5,3,4,4.86,0.88,3,2,2.6,1,2.67,Green,9
204,Beavercreek,80,1,2,4/1/17,9.00,1.00,1.00,0.99,1,2,1.7,0.12,0.13,0.01,4,4,2,3,1.52,0.83,4,1,2.8,2,2.81,Green,9
205,Centerville,80,1,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.10,0.10,0.00,3,3,2,2.5,4.47,0.75,5,2,3.8,2,2.71,Green,9
206,Huber Heights,80,1,2,4/1/17,9.00,1.00,1.00,0.97,1,2,1.7,0.08,0.08,0.01,4,3,2,2.5,6.43,1,1,3,1.8,2,2.46,Green,9
207,Delafield,2,6,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.09,0.11,0.02,4,5,2,3.5,1.06,0.89,3,1,2.2,2,2.97,Green,9
208,Eastgate,13,2,4,4/1/17,9.00,1.00,1.00,0.96,1,2,1.7,0.00,0.01,0.01,4,4,3,3.5,2.8,0.82,4,1,2.8,2,2.91,Green,9
209,Florence,13,2,4,4/1/17,9.00,1.00,1.00,0.94,1,3,2.4,0.05,0.11,0.06,4,4,3,3.5,5.69,0.89,3,3,3,2,3.17,Yellow,9
210,Forest Park,13,2,4,4/1/17,9.00,1.00,1.00,1.00,1,2,1.7,0.01,0.02,0.01,4,4,2,3,,,,,,2,2.765,Green,9
211,Holland,16,11,2,4/1/17,9.00,0.83,0.83,0.82,4,4,4,0.10,0.16,0.07,4,5,3,4,3.41,0.82,4,2,3.2,2,3.8,Orange,9
212,Kenosha,3,6,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.10,0.02,4,3,3,3,5.1,0.88,3,3,3,2,2.86,Green,9
213,Madison East,2,6,2,4/1/17,9.25,1.00,1.00,0.87,1,4,3.1,0.12,0.11,-0.01,3,5,3,4,1.93,0.96,1,1,1,2,2.73,Green,9.12
214,Saginaw,31,11,2,4/1/17,9.00,1.00,1.00,0.98,1,2,1.7,0.07,0.07,0.00,3,2,3,2.5,4.94,0.92,2,2,2,2,2.26,Green,9
215,Eden Prairie,8,7,2,4/1/17,9.50,0.98,0.98,0.87,2,4,3.4,0.06,0.09,0.03,4,5,3,4,1.5,0.91,2,1,1.6,3,3.22,Yellow,9.38
216,Governor's Plaza,13,2,4,4/1/17,9.00,0.92,0.92,0.91,3,3,3,0.04,0.06,0.03,4,4,2,3,3.96,0.76,5,2,3.8,2,3.45,Yellow,9
217,Cedar Rapids,79,7,2,4/1/17,9.00,1.00,1.00,0.95,1,2,1.7,0.06,0.09,0.02,4,5,3,4,6.4,0.92,2,3,2.4,2,2.91,Green,9
218,Kalamazoo,16,11,2,4/1/17,9.00,1.00,1.00,0.93,1,3,2.4,0.17,0.12,-0.05,3,4,3,3.5,4.5,0.79,5,2,3.8,2,3.12,Yellow,9
